DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Jan-23,EQ,57.1,58.15,55.8,56.55,56,55.95,56.42,63.9,37.45,3317036,"18,71,63,592.40",12245
16-Jan-23,EQ,56.2,56.75,55.9,55.9,56.6,56.55,56.46,63.9,37.45,1862053,"10,51,35,176.20",6839
13-Jan-23,EQ,55.95,56.5,55.55,55.8,56.05,55.9,56,63.9,37.45,1238916,"6,93,82,768.65",4970
12-Jan-23,EQ,56.2,56.25,55.05,55.75,55.7,55.8,55.64,63.9,37.45,1460432,"8,12,55,306.40",6090
11-Jan-23,EQ,56.15,56.45,54.85,56.15,56.45,55.75,55.51,63.9,37.45,1865956,"10,35,77,793.05",8012
10-Jan-23,EQ,57.3,57.4,56,57.15,56,56.15,56.46,63.9,37.45,1264616,"7,14,05,431.30",6992
09-Jan-23,EQ,59.05,59.15,56.3,58.7,57.35,57.15,57.34,63.9,37.45,2820391,"16,17,33,904.70",12844
06-Jan-23,EQ,59.5,59.9,58,59.15,58.4,58.7,59.01,63.9,37.45,2938774,"17,34,24,325.85",11465
05-Jan-23,EQ,60.25,61.1,59,59.65,59.25,59.15,59.69,63.9,37.45,4162789,"24,84,60,917.15",17384
04-Jan-23,EQ,62,63.9,59.05,59.35,59.3,59.65,61.54,63.9,37.45,18992768,"1,16,87,25,346.50",69464
03-Jan-23,EQ,60.2,60.7,59.1,59.95,59.5,59.35,59.89,63.15,37.45,2478430,"14,84,26,757.25",12024
02-Jan-23,EQ,58.5,60.75,57.65,58.35,60,59.95,59.66,63.15,37.45,2756216,"16,44,42,783.55",11537
30-Dec-22,EQ,57.15,59.15,56.95,56.7,58.2,58.35,58.17,63.15,37.45,2379622,"13,84,29,608.40",9036
29-Dec-22,EQ,57,57.05,55.6,57.15,57,56.7,56.34,63.15,37.45,967191,"5,44,90,069.05",5208
28-Dec-22,EQ,57.5,59.4,56.55,57.1,57.2,57.15,57.76,63.15,37.45,4267014,"24,64,57,099.70",10579
27-Dec-22,EQ,56.55,58.5,55.1,54.15,57.1,57.1,57.12,63.15,37.45,4446385,"25,39,66,599.10",15014
26-Dec-22,EQ,53.3,54.5,52.4,51.35,54.5,54.15,53.45,63.15,37.45,1611361,"8,61,30,406.90",6771
